name,role,specific_institution_rule,broad_rule,pair_endpoint_occurrences,validation_status
MORTGAGE ELECTRONIC REGISTRATION SYSTEMS,buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
US BANK TRUST NA TRUSTEE LSF9 MASTER PARTICIPATION,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
FREDDIE MAC,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON SAVINGS FUND SOCIETY, FSB AS OWNER",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
FEDERAL HOME LOAN MORTGAGE CORPORATION,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
LAKEVIEW LOAN SERVICING LLC,buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
HARBORVIEW MORTGAGE LOAN TRUST 2007-4,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST, N.A",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"CITIZENS BANK, N.A.",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"CITIZENS BANK, N.A.",buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON SAVINGS FUND SOCIETY, FSB, D/B/A CHRIST",buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"NATIONSTAR HECM ACQUISTION TRUST 2018-3,",buyer,True,False,1,name-rule audit only; foreclosure/REO not legally validated
C/O SPECIALIZED LOAN SERVICING LLC,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"WELLS FARGO BANK, N.A, AS TRUSTEE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"WELLS FARGO BANK, N.A. AS TRUSTEE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"CARRINGTON MORTGAGE LOAN TRUST, SERIES 2006-FRE1 A",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
US NATIONAL BANK AS TRUSTEE FOR STRUCTURED ASSET,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE FOR STR",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
MORTGAGE LOAN TRUST 2007-BC1,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"NATIONSTAR MORTGAGE, LLC",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
MORTGAGE PASS-THROUGH CERTIFICATES,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
FEDERAL HOME LOAN MORTGAGE COPRORATION,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
C/O PHH MORTGAGE CORPORATION,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
